Choose the synonym of "ship";"";vessel;aircraft;car;vessel
Choose the synonym of "food";"";nourishment;drink;medicine;nourishment
Choose the synonym of "drink";"";beverage;food;meal;beverage
Choose the synonym of "meal";"";dish;drink;ingredient;dish
Choose the synonym of "ingredient";"";component;meal;restaurant;component
Choose the synonym of "restaurant";"";eatery;hotel;market;eatery
Choose the synonym of "hotel";"";lodging;restaurant;airport;lodging
Choose the synonym of "doctor";"";physician;patient;nurse;physician
Choose the synonym of "patient";"";sick person;doctor;visitor;sick person
Choose the synonym of "medicine";"";medication;food;exercise;medication
Choose the synonym of "disease";"";illness;health;medicine;illness
Choose the synonym of "illness";"";sickness;health;strength;sickness
Choose the synonym of "healthy";"";well;sick;weak;well
Choose the synonym of "exercise";"";workout;rest;illness;workout
Choose the synonym of "rest";"";relaxation;exercise;work;relaxation
Choose the synonym of "sleep";"";slumber;wakefulness;activity;slumber
Choose the synonym of "wake";"";awaken;sleep;rest;awaken
Choose the synonym of "dream";"";fantasy;reality;fact;fantasy
Choose the synonym of "memory";"";recollection;forgetfulness;future;recollection
Choose the synonym of "education";"";schooling;ignorance;employment;schooling
Choose the synonym of "student";"";pupil;teacher;manager;pupil
Choose the synonym of "teacher";"";educator;student;customer;educator
Choose the synonym of "lesson";"";class;vacation;exam;class
Choose the synonym of "exam";"";test;lesson;break;test
Choose the synonym of "question";"";inquiry;answer;statement;inquiry
Choose the synonym of "answer";"";response;question;problem;response
Choose the synonym of "book";"";volume;article;lesson;volume
Choose the synonym of "story";"";tale;fact;number;tale
Choose the synonym of "article";"";piece;book;building;piece
Choose the synonym of "news";"";information;fiction;rumor;information
Choose the synonym of "information";"";data;opinion;fiction;data
Choose the synonym of "data";"";figures;stories;opinions;figures
Choose the synonym of "message";"";communication;silence;absence;communication
Choose the synonym of "letter";"";correspondence;message;book;correspondence
Choose the synonym of "email";"";electronic message;letter;call;electronic message
Choose the synonym of "phone";"";telephone;computer;television;telephone
Choose the synonym of "computer";"";machine;phone;book;machine
Choose the synonym of "internet";"";web;telephone;television;web
Choose the synonym of "website";"";site;application;computer;site
Choose the synonym of "application";"";program;website;machine;program
Choose the synonym of "problem";"";difficulty;solution;advantage;difficulty
Choose the synonym of "difficulty";"";obstacle;benefit;solution;obstacle
Choose the synonym of "obstacle";"";barrier;opportunity;advantage;barrier
Choose the synonym of "challenge";"";test;solution;success;test
Choose the synonym of "opportunity";"";chance;problem;failure;chance
Choose the synonym of "possibility";"";prospect;certainty;fact;prospect
Choose the synonym of "prospect";"";possibility;failure;problem;possibility
Choose the synonym of "risk";"";hazard;benefit;advantage;hazard
Choose the synonym of "danger";"";threat;safety;protection;threat
Choose the synonym of "threat";"";menace;benefit;support;menace
Choose the synonym of "protection";"";defense;attack;danger;defense
Choose the synonym of "defense";"";protection;attack;threat;protection
Choose the synonym of "attack";"";assault;defense;protection;assault
Choose the synonym of "fight";"";battle;peace;agreement;battle
Choose the synonym of "battle";"";combat;peace;cooperation;combat
Choose the synonym of "peaceful";"";calm;violent;aggressive;calm
Choose the synonym of "violent";"";brutal;peaceful;gentle;brutal
Choose the synonym of "brutal";"";savage;kind;gentle;savage
Choose the synonym of "gentle";"";mild;harsh;violent;mild
Choose the synonym of "harsh";"";severe;gentle;pleasant;severe
Choose the synonym of "severe";"";extreme;mild;moderate;extreme
Choose the synonym of "moderate";"";reasonable;extreme;excessive;reasonable
Choose the synonym of "excessive";"";extreme;moderate;reasonable;extreme
Choose the synonym of "enormous";"";gigantic;small;moderate;gigantic
Choose the synonym of "gigantic";"";colossal;tiny;minor;colossal
Choose the synonym of "tiny";"";minute;huge;enormous;minute
Choose the synonym of "vast";"";immense;tiny;narrow;immense
Choose the synonym of "immense";"";vast;small;limited;vast
Choose the synonym of "limited";"";restricted;unlimited;vast;restricted
Choose the synonym of "unlimited";"";boundless;restricted;limited;boundless
Choose the synonym of "abundant";"";plentiful;scarce;limited;plentiful
Choose the synonym of "scarce";"";rare;abundant;plentiful;rare
Choose the synonym of "rare";"";uncommon;frequent;usual;uncommon
Choose the synonym of "frequent";"";regular;rare;occasional;regular
Choose the synonym of "occasional";"";sporadic;frequent;constant;sporadic
Choose the synonym of "constant";"";continuous;occasional;rare;continuous
Choose the synonym of "continuous";"";uninterrupted;sporadic;temporary;uninterrupted
Choose the synonym of "temporary";"";transient;permanent;eternal;transient
Choose the synonym of "permanent";"";enduring;temporary;brief;enduring
Choose the synonym of "brief";"";concise;lengthy;verbose;concise
Choose the synonym of "lengthy";"";prolonged;brief;short;prolonged
Choose the synonym of "rapid";"";swift;slow;gradual;swift
Choose the synonym of "gradual";"";progressive;sudden;rapid;progressive
Choose the synonym of "sudden";"";abrupt;gradual;slow;abrupt
Choose the synonym of "immediate";"";instant;delayed;gradual;instant
Choose the synonym of "delayed";"";postponed;immediate;instant;postponed
Choose the synonym of "early";"";premature;late;delayed;premature
Choose the synonym of "late";"";overdue;early;premature;overdue
Choose the synonym of "regular";"";routine;unusual;rare;routine
Choose the synonym of "routine";"";habitual;unusual;random;habitual
Choose the synonym of "random";"";arbitrary;planned;organized;arbitrary
Choose the synonym of "planned";"";intentional;accidental;random;intentional
Choose the synonym of "accidental";"";unintentional;deliberate;planned;unintentional
Choose the synonym of "deliberate";"";intentional;accidental;random;intentional
Choose the synonym of "careful";"";cautious;reckless;careless;cautious
Choose the synonym of "reckless";"";rash;cautious;careful;rash
Choose the synonym of "cautious";"";wary;reckless;careless;wary
Choose the synonym of "wary";"";alert;careless;unaware;alert
Choose the synonym of "alert";"";vigilant;unaware;careless;vigilant
Choose the synonym of "aware";"";conscious;unconscious;ignorant;conscious
Choose the synonym of "unaware";"";oblivious;conscious;alert;oblivious
Choose the synonym of "obvious";"";apparent;hidden;unclear;apparent
Choose the synonym of "apparent";"";evident;hidden;uncertain;evident
Choose the synonym of "evident";"";obvious;unclear;secret;obvious
Choose the synonym of "hidden";"";secret;obvious;visible;secret
Choose the synonym of "secret";"";confidential;public;obvious;confidential
Choose the synonym of "public";"";open;private;secret;open
Choose the synonym of "private";"";personal;public;official;personal
Choose the synonym of "personal";"";individual;public;general;individual
Choose the synonym of "individual";"";personal;collective;public;personal
Choose the synonym of "collective";"";shared;individual;private;shared
Choose the synonym of "shared";"";common;private;individual;common
Choose the synonym of "common";"";widespread;rare;limited;widespread
Choose the synonym of "widespread";"";prevalent;rare;limited;prevalent
Choose the synonym of "prevalent";"";widespread;unusual;scarce;widespread
Choose the synonym of "dominant";"";prevailing;minor;weak;prevailing
Choose the synonym of "minor";"";secondary;dominant;major;secondary
Choose the synonym of "major";"";principal;minor;secondary;principal
Choose the synonym of "principal";"";main;secondary;minor;main
Choose the synonym of "main";"";primary;secondary;minor;primary
Choose the synonym of "secondary";"";subordinate;primary;main;subordinate
Choose the synonym of "primary";"";chief;secondary;minor;chief
Choose the synonym of "chief";"";principal;secondary;minor;principal
Choose the synonym of "essential";"";vital;optional;minor;vital
Choose the synonym of "vital";"";crucial;unimportant;minor;crucial
Choose the synonym of "crucial";"";critical;minor;optional;critical
Choose the synonym of "critical";"";essential;trivial;unimportant;essential
Choose the synonym of "trivial";"";minor;crucial;essential;minor
Choose the synonym of "significant";"";meaningful;trivial;minor;meaningful
Choose the synonym of "meaningful";"";significant;empty;trivial;significant
Choose the synonym of "valuable";"";worthwhile;worthless;cheap;worthwhile
Choose the synonym of "worthwhile";"";valuable;useless;trivial;valuable
Choose the synonym of "useless";"";ineffective;useful;valuable;ineffective
Choose the synonym of "effective";"";successful;useless;weak;successful
Choose the synonym of "successful";"";effective;unsuccessful;weak;effective
Choose the synonym of "efficient";"";productive;wasteful;slow;productive
Choose the synonym of "productive";"";effective;unproductive;wasteful;effective
Choose the synonym of "unproductive";"";inefficient;productive;effective;inefficient
Choose the synonym of "practical";"";useful;impractical;theoretical;useful
Choose the synonym of "impractical";"";unrealistic;practical;useful;unrealistic
Choose the synonym of "realistic";"";practical;unrealistic;impossible;practical
Choose the synonym of "unrealistic";"";impractical;realistic;possible;impractical
Choose the synonym of "possible";"";achievable;impossible;unrealistic;achievable
Choose the synonym of "achievable";"";attainable;impossible;hopeless;attainable
Choose the synonym of "impossible";"";unachievable;possible;feasible;unachievable
Choose the synonym of "feasible";"";viable;impossible;unrealistic;viable
Choose the synonym of "viable";"";workable;impossible;useless;workable
Choose the synonym of "workable";"";practical;impossible;ineffective;practical
Choose the synonym of "reliable";"";dependable;unreliable;uncertain;dependable
Choose the synonym of "unreliable";"";inconsistent;reliable;dependable;inconsistent
Choose the synonym of "consistent";"";steady;inconsistent;random;steady
Choose the synonym of "inconsistent";"";irregular;consistent;steady;irregular
Choose the synonym of "stable";"";steady;unstable;volatile;steady
Choose the synonym of "unstable";"";volatile;stable;secure;volatile
Choose the synonym of "secure";"";protected;vulnerable;dangerous;protected
Choose the synonym of "vulnerable";"";exposed;protected;secure;exposed
Choose the synonym of "strong";"";resilient;fragile;weak;resilient
Choose the synonym of "resilient";"";durable;fragile;weak;durable
Choose the synonym of "fragile";"";delicate;durable;strong;delicate
Choose the synonym of "durable";"";robust;fragile;weak;robust
Choose the synonym of "robust";"";strong;weak;fragile;strong
Choose the synonym of "intelligent";"";brilliant;stupid;ignorant;brilliant
Choose the synonym of "brilliant";"";clever;stupid;dull;clever
Choose the synonym of "clever";"";astute;foolish;careless;astute
Choose the synonym of "foolish";"";silly;wise;clever;silly
Choose the synonym of "wise";"";sensible;foolish;reckless;sensible
Choose the synonym of "sensible";"";prudent;reckless;foolish;prudent
Choose the synonym of "prudent";"";wise;careless;reckless;wise
Choose the synonym of "careless";"";negligent;diligent;careful;negligent
Choose the synonym of "diligent";"";hardworking;lazy;careless;hardworking
Choose the synonym of "lazy";"";idle;active;diligent;idle
Choose the synonym of "active";"";energetic;lazy;inactive;energetic
Choose the synonym of "energetic";"";lively;tired;lazy;lively
Choose the synonym of "lively";"";vibrant;dull;inactive;vibrant
Choose the synonym of "dull";"";tedious;interesting;exciting;tedious
Choose the synonym of "exciting";"";thrilling;boring;dull;thrilling
Choose the synonym of "thrilling";"";exhilarating;boring;ordinary;exhilarating
Choose the synonym of "boring";"";tedious;thrilling;exciting;tedious
Choose the synonym of "fascinating";"";captivating;boring;ordinary;captivating
Choose the synonym of "captivating";"";engaging;dull;boring;engaging
Choose the synonym of "engaging";"";interesting;boring;tedious;interesting
Choose the synonym of "funny";"";humorous;serious;sad;humorous
Choose the synonym of "humorous";"";comical;serious;boring;comical
Choose the synonym of "serious";"";solemn;funny;playful;solemn
Choose the synonym of "strange";"";peculiar;normal;ordinary;peculiar
Choose the synonym of "peculiar";"";unusual;normal;common;unusual
Choose the synonym of "normal";"";typical;strange;exceptional;typical
Choose the synonym of "typical";"";characteristic;unusual;rare;characteristic
Choose the synonym of "rare";"";scarce;abundant;common;scarce
Choose the synonym of "abundant";"";ample;scarce;limited;ample
Choose the synonym of "ample";"";plentiful;limited;scarce;plentiful
Choose the synonym of "limited";"";restricted;unlimited;abundant;restricted
Choose the synonym of "restricted";"";confined;free;unlimited;confined
Choose the synonym of "free";"";unrestricted;restricted;limited;unrestricted
Choose the synonym of "unrestricted";"";unlimited;limited;confined;unlimited
Choose the synonym of "friendly";"";cordial;hostile;cold;cordial
Choose the synonym of "cordial";"";warm;cold;hostile;warm
Choose the synonym of "cold";"";distant;warm;friendly;distant
Choose the synonym of "hostile";"";unfriendly;friendly;kind;unfriendly
Choose the synonym of "kind";"";benevolent;cruel;harsh;benevolent
Choose the synonym of "benevolent";"";charitable;cruel;selfish;charitable
Choose the synonym of "cruel";"";brutal;kind;gentle;brutal
Choose the synonym of "brutal";"";savage;gentle;kind;savage
Choose the synonym of "generous";"";liberal;stingy;selfish;liberal
Choose the synonym of "stingy";"";miserly;generous;charitable;miserly
Choose the synonym of "selfish";"";self-centered;generous;selfless;self-centered
Choose the synonym of "selfless";"";altruistic;selfish;greedy;altruistic
Choose the synonym of "altruistic";"";unselfish;selfish;greedy;unselfish
Choose the synonym of "honest";"";sincere;deceptive;false;sincere
Choose the synonym of "sincere";"";genuine;fake;dishonest;genuine
Choose the synonym of "deceptive";"";misleading;honest;truthful;misleading
Choose the synonym of "misleading";"";deceptive;accurate;clear;deceptive
Choose the synonym of "truthful";"";honest;dishonest;deceptive;honest
Choose the synonym of "polite";"";respectful;rude;hostile;respectful
Choose the synonym of "respectful";"";courteous;rude;disrespectful;courteous
Choose the synonym of "rude";"";discourteous;polite;respectful;discourteous
Choose the synonym of "arrogant";"";conceited;humble;modest;conceited
Choose the synonym of "humble";"";modest;arrogant;proud;modest
Choose the synonym of "modest";"";unassuming;arrogant;boastful;unassuming
Choose the synonym of "proud";"";conceited;humble;modest;conceited
Choose the synonym of "confident";"";assured;uncertain;hesitant;assured
Choose the synonym of "uncertain";"";unsure;confident;certain;unsure
Choose the synonym of "hesitant";"";reluctant;eager;confident;reluctant
Choose the synonym of "eager";"";keen;reluctant;uninterested;keen
Choose the synonym of "enthusiastic";"";passionate;apathetic;bored;passionate
Choose the synonym of "apathetic";"";indifferent;enthusiastic;passionate;indifferent
Choose the synonym of "indifferent";"";unconcerned;interested;enthusiastic;unconcerned
Choose the synonym of "interested";"";curious;indifferent;bored;curious
Choose the synonym of "curious";"";inquisitive;indifferent;uninterested;inquisitive
Choose the synonym of "inquisitive";"";questioning;indifferent;apathetic;questioning
Choose the synonym of "brave";"";fearless;timid;afraid;fearless
Choose the synonym of "timid";"";shy;brave;bold;shy
Choose the synonym of "bold";"";daring;timid;hesitant;daring
Choose the synonym of "daring";"";adventurous;cautious;timid;adventurous
Choose the synonym of "cautious";"";prudent;reckless;careless;prudent
Choose the synonym of "reckless";"";careless;cautious;prudent;careless
Choose the synonym of "patient";"";tolerant;impatient;angry;tolerant
Choose the synonym of "impatient";"";restless;patient;calm;restless
Choose the synonym of "calm";"";composed;agitated;angry;composed
Choose the synonym of "agitated";"";restless;calm;peaceful;restless
Choose the synonym of "peaceful";"";tranquil;violent;aggressive;tranquil
Choose the synonym of "tranquil";"";serene;agitated;noisy;serene
Choose the synonym of "anxious";"";worried;calm;relaxed;worried
Choose the synonym of "worried";"";concerned;relaxed;carefree;concerned
Choose the synonym of "relaxed";"";calm;anxious;tense;calm
Choose the synonym of "tense";"";strained;relaxed;calm;strained
Choose the synonym of "excited";"";thrilled;bored;calm;thrilled
Choose the synonym of "thrilled";"";delighted;disappointed;indifferent;delighted
Choose the synonym of "delighted";"";pleased;angry;sad;pleased
Choose the synonym of "pleased";"";satisfied;disappointed;angry;satisfied
Choose the synonym of "disappointed";"";dissatisfied;pleased;excited;dissatisfied
Choose the synonym of "satisfied";"";content;disappointed;angry;content
Choose the synonym of "content";"";satisfied;unhappy;angry;satisfied
Choose the synonym of "unhappy";"";miserable;joyful;excited;miserable
Choose the synonym of "miserable";"";wretched;happy;pleased;wretched
Choose the synonym of "joyful";"";cheerful;sad;angry;cheerful
Choose the synonym of "cheerful";"";happy;gloomy;sad;happy
Choose the synonym of "gloomy";"";depressing;cheerful;joyful;depressing
Choose the synonym of "sad";"";sorrowful;joyful;cheerful;sorrowful
Choose the synonym of "angry";"";outraged;pleased;calm;outraged
Choose the synonym of "furious";"";enraged;calm;pleased;enraged
Choose the synonym of "enraged";"";infuriated;calm;relaxed;infuriated
Choose the synonym of "afraid";"";terrified;confident;brave;terrified
Choose the synonym of "terrified";"";petrified;calm;fearless;petrified
Choose the synonym of "surprised";"";astonished;expectant;indifferent;astonished
Choose the synonym of "astonished";"";amazed;bored;calm;amazed
Choose the synonym of "amazed";"";astounded;unimpressed;indifferent;astounded
Choose the synonym of "confused";"";perplexed;clear;certain;perplexed
Choose the synonym of "perplexed";"";puzzled;certain;confident;puzzled
Choose the synonym of "certain";"";definite;uncertain;doubtful;definite
Choose the synonym of "definite";"";certain;unclear;possible;certain
Choose the synonym of "possible";"";potential;impossible;unlikely;potential
Choose the synonym of "potential";"";possible;impossible;unlikely;possible
Choose the synonym of "likely";"";probable;unlikely;impossible;probable
Choose the synonym of "probable";"";likely;unlikely;impossible;likely
Choose the synonym of "unlikely";"";improbable;probable;certain;improbable
Choose the synonym of "improbable";"";unlikely;likely;certain;unlikely
Choose the synonym of "obvious";"";plain;hidden;unclear;plain
Choose the synonym of "plain";"";clear;complicated;hidden;clear
Choose the synonym of "clear";"";lucid;confusing;vague;lucid
Choose the synonym of "lucid";"";understandable;confusing;unclear;understandable
Choose the synonym of "vague";"";ambiguous;precise;exact;ambiguous
Choose the synonym of "ambiguous";"";unclear;explicit;precise;unclear
Choose the synonym of "precise";"";accurate;vague;rough;accurate
Choose the synonym of "accurate";"";correct;incorrect;false;correct
Choose the synonym of "incorrect";"";wrong;correct;accurate;wrong
Choose the synonym of "false";"";incorrect;true;genuine;incorrect
Choose the synonym of "genuine";"";authentic;fake;false;authentic
Choose the synonym of "authentic";"";real;fake;false;real
Choose the synonym of "fake";"";artificial;genuine;real;artificial
Choose the synonym of "artificial";"";synthetic;natural;genuine;synthetic
Choose the synonym of "natural";"";organic;artificial;synthetic;organic
Choose the synonym of "organic";"";natural;artificial;synthetic;natural
Choose the synonym of "beautiful";"";stunning;ugly;plain;stunning
Choose the synonym of "stunning";"";striking;ordinary;ugly;striking
Choose the synonym of "attractive";"";appealing;ugly;unpleasant;appealing
Choose the synonym of "appealing";"";attractive;unpleasant;boring;attractive
Choose the synonym of "unattractive";"";ugly;beautiful;appealing;ugly
Choose the synonym of "elegant";"";graceful;clumsy;rough;graceful
Choose the synonym of "graceful";"";elegant;clumsy;awkward;elegant
Choose the synonym of "simple";"";uncomplicated;complex;difficult;uncomplicated
Choose the synonym of "complicated";"";complex;simple;easy;complex
Choose the synonym of "difficult";"";demanding;easy;simple;demanding
Choose the synonym of "demanding";"";challenging;easy;simple;challenging
Choose the synonym of "easy";"";effortless;difficult;challenging;effortless
Choose the synonym of "effortless";"";easy;difficult;demanding;easy
Choose the synonym of "useful";"";beneficial;useless;harmful;beneficial
Choose the synonym of "beneficial";"";helpful;harmful;useless;helpful
Choose the synonym of "harmful";"";detrimental;beneficial;helpful;detrimental
Choose the synonym of "dangerous";"";perilous;safe;secure;perilous
Choose the synonym of "safe";"";harmless;dangerous;hazardous;harmless
Choose the synonym of "harmless";"";innocuous;dangerous;harmful;innocuous
Choose the synonym of "important";"";relevant;irrelevant;trivial;relevant
Choose the synonym of "relevant";"";pertinent;irrelevant;unrelated;pertinent
Choose the synonym of "irrelevant";"";unrelated;relevant;pertinent;unrelated
Choose the synonym of "related";"";connected;unrelated;separate;connected
Choose the synonym of "unrelated";"";independent;related;connected;independent
Choose the synonym of "independent";"";autonomous;dependent;controlled;autonomous
Choose the synonym of "dependent";"";reliant;independent;autonomous;reliant
Choose the synonym of "reliable";"";trustworthy;unreliable;uncertain;trustworthy
Choose the synonym of "trustworthy";"";dependable;unreliable;dishonest;dependable
Choose the synonym of "unreliable";"";undependable;trustworthy;reliable;undependable
Choose the synonym of "honest";"";upright;dishonest;deceptive;upright
Choose the synonym of "dishonest";"";corrupt;honest;upright;corrupt
Choose the synonym of "corrupt";"";dishonest;honest;ethical;dishonest
Choose the synonym of "ethical";"";moral;immoral;corrupt;moral
Choose the synonym of "immoral";"";unethical;ethical;moral;unethical
Choose the synonym of "legal";"";lawful;illegal;criminal;lawful
Choose the synonym of "illegal";"";unlawful;legal;lawful;unlawful
Choose the synonym of "lawful";"";legal;illegal;criminal;legal
Choose the synonym of "correct";"";right;wrong;false;right
Choose the synonym of "wrong";"";mistaken;correct;accurate;mistaken
Choose the synonym of "mistaken";"";erroneous;correct;accurate;erroneous
Choose the synonym of "erroneous";"";incorrect;correct;valid;incorrect
Choose the synonym of "valid";"";legitimate;invalid;false;legitimate
Choose the synonym of "legitimate";"";lawful;illegal;invalid;lawful
Choose the synonym of "invalid";"";illegitimate;valid;correct;illegitimate
Choose the synonym of "credible";"";believable;unbelievable;false;believable
Choose the synonym of "believable";"";plausible;impossible;false;plausible
Choose the synonym of "plausible";"";credible;unbelievable;unlikely;credible
Choose the synonym of "unbelievable";"";implausible;credible;plausible;implausible
Choose the synonym of "reasonable";"";sensible;absurd;unreasonable;sensible
Choose the synonym of "unreasonable";"";absurd;reasonable;sensible;absurd
Choose the synonym of "absurd";"";ridiculous;reasonable;sensible;ridiculous
Choose the synonym of "logical";"";rational;irrational;absurd;rational
Choose the synonym of "irrational";"";illogical;logical;rational;illogical
Choose the synonym of "rational";"";reasonable;irrational;absurd;reasonable
Choose the synonym of "practical";"";pragmatic;impractical;theoretical;pragmatic
Choose the synonym of "pragmatic";"";practical;theoretical;impractical;practical
Choose the synonym of "theoretical";"";conceptual;practical;physical;conceptual
Choose the synonym of "physical";"";tangible;theoretical;abstract;tangible
Choose the synonym of "abstract";"";conceptual;physical;tangible;conceptual
Choose the synonym of "concrete";"";tangible;abstract;theoretical;tangible
Choose the synonym of "tangible";"";concrete;abstract;theoretical;concrete
Choose the synonym of "visible";"";apparent;invisible;hidden;apparent
Choose the synonym of "invisible";"";unseen;visible;obvious;unseen
Choose the synonym of "obvious";"";unmistakable;uncertain;hidden;unmistakable
Choose the synonym of "hidden";"";secret;visible;obvious;secret
Choose the synonym of "secret";"";confidential;public;open;confidential
Choose the synonym of "confidential";"";private;public;open;private
Choose the synonym of "public";"";official;private;secret;official
Choose the synonym of "official";"";authorized;unofficial;informal;authorized
Choose the synonym of "unofficial";"";informal;official;authorized;informal
Choose the synonym of "formal";"";ceremonial;casual;informal;ceremonial
Choose the synonym of "casual";"";relaxed;formal;official;relaxed
Choose the synonym of "relaxed";"";easygoing;tense;strict;easygoing
Choose the synonym of "strict";"";rigorous;lenient;relaxed;rigorous
Choose the synonym of "lenient";"";tolerant;strict;harsh;tolerant
Choose the synonym of "tolerant";"";accepting;intolerant;hostile;accepting
Choose the synonym of "intolerant";"";narrow-minded;tolerant;accepting;narrow-minded
Choose the synonym of "open-minded";"";tolerant;narrow-minded;intolerant;tolerant
Choose the synonym of "narrow-minded";"";intolerant;open-minded;tolerant;intolerant
Choose the synonym of "flexible";"";adaptable;rigid;inflexible;adaptable
Choose the synonym of "adaptable";"";versatile;rigid;inflexible;versatile
Choose the synonym of "versatile";"";multifunctional;limited;rigid;multifunctional
Choose the synonym of "rigid";"";inflexible;flexible;adaptable;inflexible
Choose the synonym of "inflexible";"";rigid;flexible;adaptable;rigid
Choose the synonym of "stable";"";secure;unstable;volatile;secure
Choose the synonym of "volatile";"";unstable;stable;secure;unstable
Choose the synonym of "unstable";"";unpredictable;stable;secure;unpredictable
Choose the synonym of "predictable";"";foreseeable;unpredictable;random;foreseeable
Choose the synonym of "unpredictable";"";erratic;predictable;regular;erratic
Choose the synonym of "regular";"";consistent;erratic;random;consistent
Choose the synonym of "consistent";"";uniform;inconsistent;variable;uniform
Choose the synonym of "variable";"";changeable;constant;fixed;changeable
Choose the synonym of "constant";"";unchanging;variable;temporary;unchanging
Choose the synonym of "permanent";"";enduring;temporary;brief;enduring
Choose the synonym of "enduring";"";lasting;temporary;brief;lasting
Choose the synonym of "brief";"";fleeting;lasting;permanent;fleeting
Choose the synonym of "fleeting";"";short-lived;permanent;lasting;short-lived
Choose the synonym of "temporary";"";transient;permanent;lasting;transient
Choose the synonym of "transient";"";temporary;permanent;eternal;temporary
Choose the synonym of "eternal";"";everlasting;temporary;brief;everlasting
Choose the synonym of "brief";"";concise;verbose;lengthy;concise
Choose the synonym of "concise";"";succinct;verbose;lengthy;succinct
Choose the synonym of "verbose";"";wordy;concise;brief;wordy
Choose the synonym of "wordy";"";lengthy;concise;brief;lengthy
Choose the synonym of "clear";"";unambiguous;ambiguous;vague;unambiguous
Choose the synonym of "ambiguous";"";equivocal;clear;explicit;equivocal
Choose the synonym of "explicit";"";unambiguous;ambiguous;vague;unambiguous
Choose the synonym of "implicit";"";suggested;explicit;direct;suggested
Choose the synonym of "suggested";"";implied;explicit;stated;implied
Choose the synonym of "stated";"";declared;hidden;implied;declared
Choose the synonym of "declare";"";announce;hide;deny;announce
Choose the synonym of "announce";"";proclaim;conceal;deny;proclaim
Choose the synonym of "proclaim";"";announce;hide;whisper;announce
Choose the synonym of "whisper";"";murmur;shout;announce;murmur
Choose the synonym of "shout";"";yell;whisper;speak softly;yell
Choose the synonym of "speak";"";talk;listen;remain silent;talk
Choose the synonym of "talk";"";converse;ignore;listen;converse
Choose the synonym of "communicate";"";convey;hide;silence;convey
Choose the synonym of "convey";"";communicate;conceal;remove;communicate
Choose the synonym of "inform";"";notify;hide;mislead;notify
Choose the synonym of "notify";"";alert;ignore;forget;alert
Choose the synonym of "warn";"";caution;encourage;approve;caution
Choose the synonym of "caution";"";warning;reward;permission;warning
Choose the synonym of "advise";"";recommend;discourage;ignore;recommend
Choose the synonym of "recommend";"";suggest;reject;prevent;suggest
Choose the synonym of "suggest";"";propose;reject;deny;propose
Choose the synonym of "propose";"";put forward;withdraw;reject;put forward
Choose the synonym of "request";"";ask for;refuse;deny;ask for
Choose the synonym of "demand";"";insist;offer;request politely;insist
Choose the synonym of "insist";"";maintain;withdraw;deny;maintain
Choose the synonym of "refuse";"";decline;accept;agree;decline
Choose the synonym of "decline";"";reject;accept;approve;reject
Choose the synonym of "accept";"";approve;reject;deny;approve
Choose the synonym of "approve";"";endorse;reject;criticize;endorse
Choose the synonym of "endorse";"";support;oppose;reject;support
Choose the synonym of "support";"";assist;oppose;hinder;assist
Choose the synonym of "assist";"";help;hinder;oppose;help
Choose the synonym of "hinder";"";impede;assist;help;impede
Choose the synonym of "impede";"";obstruct;assist;facilitate;obstruct
Choose the synonym of "facilitate";"";ease;complicate;obstruct;ease
Choose the synonym of "ease";"";simplify;complicate;worsen;simplify
Choose the synonym of "complicate";"";aggravate;simplify;solve;aggravate
Choose the synonym of "aggravate";"";worsen;improve;solve;worsen
Choose the synonym of "worsen";"";exacerbate;improve;repair;exacerbate
Choose the synonym of "improve";"";enhance;worsen;damage;enhance
Choose the synonym of "enhance";"";boost;reduce;damage;boost
Choose the synonym of "boost";"";increase;decrease;reduce;increase
Choose the synonym of "reduce";"";diminish;increase;expand;diminish
Choose the synonym of "diminish";"";lessen;increase;expand;lessen
Choose the synonym of "lessen";"";decrease;increase;boost;decrease
Choose the synonym of "increase";"";augment;reduce;decrease;augment
Choose the synonym of "augment";"";expand;reduce;diminish;expand
Choose the synonym of "expand";"";broaden;narrow;reduce;broaden
Choose the synonym of "broaden";"";widen;narrow;reduce;widen
Choose the synonym of "narrow";"";restrict;broaden;expand;restrict
Choose the synonym of "restrict";"";limit;expand;release;limit
Choose the synonym of "limit";"";confine;expand;release;confine
Choose the synonym of "release";"";free;restrict;confine;free
Choose the synonym of "free";"";liberate;confine;restrict;liberate
Choose the synonym of "liberate";"";release;imprison;restrict;release
Choose the synonym of "capture";"";seize;release;free;seize
Choose the synonym of "seize";"";grab;release;give;grab
Choose the synonym of "grab";"";grasp;release;drop;grasp
Choose the synonym of "hold";"";grip;release;drop;grip
Choose the synonym of "drop";"";let go;hold;grip;let go
Choose the synonym of "raise";"";lift;lower;drop;lift
Choose the synonym of "lower";"";reduce;raise;lift;reduce
Choose the synonym of "lift";"";raise;lower;drop;raise
Choose the synonym of "push";"";press;pull;release;press
Choose the synonym of "pull";"";drag;push;release;drag
Choose the synonym of "drag";"";pull;push;lift;pull
Choose the synonym of "carry";"";transport;drop;leave;transport
Choose the synonym of "transport";"";move;stop;stay;move
Choose the synonym of "move";"";shift;remain;stay;shift
Choose the synonym of "stay";"";remain;leave;depart;remain
Choose the synonym of "depart";"";leave;arrive;enter;leave
Choose the synonym of "arrive";"";reach;depart;leave;reach
Choose the synonym of "reach";"";attain;lose;leave;attain
Choose the synonym of "attain";"";achieve;fail;lose;achieve
Choose the synonym of "achieve";"";accomplish;fail;lose;accomplish
