question;hint;option1;option2;option3;answer
There were colorful _______ in  the yard.;the flowers on  a tree or plant, to become stronger;clarify;suffer;blossoms;blossoms
Roses look  so pretty when they _______;1.produce flowers 2.become  more successful;fuss;excels;bloom;bloom
During the spring,  the _______ in the air makes some people become sick .;a yellow substance  produced by flowers;ensued;inserted;pollen;pollen
After dropping his coffee  cup, Robbie felt _______;uncomfortable, difficult, to act in a strange way;sesame;glide;awkward;awkward
The baby’s  skin felt very _______;1. perfectly regular and pleasant to touch, 2. without any problems;dogged;propulsion;smooth;smooth
The _______ ground hurt my feet.;having irregular  texture;infrastructure;constellation;rough;rough
The  boy _______ that he was  one meter tall.;calculate the  cost, size, amount  of something;disposed;resembles;estimated;estimated
I made a _______ with  the other company to give us some  money.;an agreement, usually  in business;din;numerous;deal;deal
It was hot outside,  so the boy sat in the _______ of a tree;an area that is dark and cool, a type or degree of a colour;merchandise;persisted;shade;shade
Look at my new  cell phone. It’s very _______;thin, very small in  amount or number ;alternates;conquer;slim;slim
The police looked for the lost dog, but its _______ were  still unknown;the  place where a person or thing is;legitimate;concrete;whereabouts;whereabouts
My brother likes  chocolate ice cream, but I always _______ for vanilla.;to choose one  thing or do one thing instead of another;revenue;reinforced;opt;opt
I usually _______ to  work on the train;to travel regularly  between work and home;persuasion;vivacious;commute;commute
The constant training  and  planning led the team to an _______ victory;happening at the end  of a period of time or of a process;verge;scent;eventual;eventual
After I passed the test, I _______ my driver’s license.;formal to get something that  we want;drought;blossoms;obtained;obtained
The boy liked  to _______ he was a king;to speak and act as if something is true when it’s really  not;subsidy;bloom;pretend;pretend
The spa was the  perfect _______ for my mother to relax and  enjoy her vacation;a small area  or place where something specific happens;essence;pollen;locale;locale
The singer  was very good. She _______ the crowd;to make someone laugh  or smile, to keep someone happy;precise;awkward;amused;amused
We lost the game  by a _______ two points;small or unimportant;relay;smooth;mere;mere
Lydia had a high _______ so  she didn’t go to school.;a very high body temperature, great interest or excitement  about something;fabulous;rough;fever;fever
I felt a sense of _______ when  I heard the good news.;a feeling of  comfort when  something has ended ;latter;estimated;relief;relief
After three  months of _______ the vegetation and trees started dying.;a long period of dry weather when there is not enough  water for plants and animals;cosmopolitan;deal;drought;drought
The entire wall was _______;to damage  something very badly or completely;commonplace;shade;devastated;devastated
He placed the device  on a rocket and _______ it into the sky;to start something, to make a new product;highlighted;slim;launched;launched
The _______ was traveling around the earth.;an  object that moves around a planet;displayed;whereabouts;satellite;satellite
The radio  tower _______ a signal to all the radios in a 20-kilometer radius;formal   to send or pass from one person or place to another;adorned;opt;transmits;transmits
A microwave oven cooks food in an _______;a moment;ornament;commute;instant;instant
People _______ success in many different ways;to say or explain what the meaning of a word or phrase is;gorgeous;eventual;define;define
Her idea of art is a bit too _______ for me.;unusual, not normal or typical   ;distinguish;obtained;abnormal;abnormal
They had a lot of  wheat from the last _______;the process  of collecting food by farmers;resolutions;pretend;harvest;harvest
In two more years,  I will _______ my diploma.;to get something  after trying for a long time;spectacular;locale;attain;attain
She was so _______ in German that you’d have thought she was from Germany.;able to express yourself easily ;twisted;amused;fluent;fluent
Henry could  not _______ the message;formal  to understand something fully;supernatural;mere;comprehend;comprehend
Michael  could _______ see the distant island;only with great difficulty, almost not ;enchanted;fever;barely;barely
In the _______ of the morning,  it was difficult to see the boat on the lake.;almost total  darkness;charmed;relief;gloom;gloom
I _______ the  stairs to get out of the building;formal to go or  come down ;deception;drought;descended;descended
The explorer _______ the  desert;formal to cross an area  of land or water;visible;devastated;traversed;traversed
The _______ of the ice cream was very good.;a taste of a food or drink, a quality or character;proceeded;launched;flavour;flavour
He bought a pair of _______ white shoes over the weekend;simple, without anything added or without decoration ;haste;satellite;plain;plain
Their table was all set for a _______ dinner.;having a lot of decoration, expensive and fashionable;frantic;transmits;fancy;fancy
The girl had _______ ideas about doing well in school without studying;imaginative or unreal;longing;instant;fanciful;fanciful
Gail _______ everyone  with her humorous  stories.;the power  of pleasing or  attracting people;overwhelmed;define;charmed;charmed
He felt such _______ after getting a promotion at work;a feeling of great pleasure and satisfaction;eager;abnormal;delight;delight
Alex speaks 6 languages and has a very _______ upbringing;familiar with many different countries and cultures;bundle;harvest;cosmopolitan /n.;cosmopolitan /n.
He changed his _______ about rats after he read a book  about them;point of view, the  likely future situation;stock;attain;outlook;outlook
The girl  was _______ by the couple when she was 3;take a child into a  family, start using idea or method;disposed  of;fluent;adopted;adopted
The old wooden  house was slowly _______;lose strength, beauty, etc., to break down;proper;comprehend;decaying;decaying
 People who  brush their teeth at least twice a day are practicing good _______;keeping  yourself and the things around us clean;vital;barely;hygiene;hygiene
Mangoes are  one of the most _______ fruits in the world.;full of  the natural elements that our body needs;chore;gloom;nutritious;nutritious
The doctor said I needed  to increase my _______ of fruits and vegetables.;the amount of food, drink that we take into our body;inventive;descended;intake;intake
A snowboarder  must have the right _______ to do well.;an ability to do something well ;sweep;traversed;skills;skills
The 1st Harry Potter book J.K. Rowling _______ also to her sibling;give all of our energy and time,  to be made for someone;thorough;flavour;dedicated;dedicated
The _______ of happiness is  a basic human right;the act of looking for  or trying to get something;evidence;plain;pursuit;pursuit
The man was  a _______ liar.;usual or typical  of someone;extinct;fancy;habitual;habitual
Eating healthily  keeps your _______ clean, so blood can flow with ease;tube  taking blood away from the heart, an important road;species;fanciful;arteries;arteries
The heart is a _______ organ;extremely important and necessary;homogeneous;charmed;vital;vital
To _______ principles, it’s  vital to speak carefully;make something continue at the same level, standard, etc.;scrutiny;delight;maintain;maintain
The _______ of having a car  is that it is very expensive to maintain.;a problem or  disadvantage, minus;urged;cosmopolitan /n.;drawback;drawback
Growing a beard is more _______ in some countries than in others;happening  often ;suppressed;outlook;prevalent;prevalent
John has a bad _______ He’s always angry;the way that we think and feel about something;lungs;adopted;attitude;attitude
He felt a  sense of _______ after failing his big exam.;the loss  of other people’s respect ;boosts;decaying;disgrace;disgrace
He  quickly _______ my idea about a new project;say no to  something, to fire someone ;suffer;hygiene;dismissed;dismissed
I was filled with _______ after reading the newspaper.;a  feeling of worry about something important;excels;nutritious;concern;concern
You must wear protective clothing because the patient’s illness  is _______;moving easily  from one person to another;inserted;intake;contagious;contagious
The child _______ before  bed for the night;to open the  mouth wide usually when we are tired ;glide;skills;yawned;yawned
George _______ to be a doctor  from a young age;to want something very much;propulsion;dedicated;aspired;aspired
Since Peter was so _______ he was  chosen to lead the science team;using new  methods or ideas;constellation;pursuit;innovative;innovative
He _______ his favorite superhero by putting  on a costume;to copy  someone or something ;resembles;habitual;imitated;imitated
That soccer field has _______ grass, but it  looks real.;made by people,  unnatural;numerous;arteries;artificial;artificial
No one _______ the  ancient city.;to live in a  place;persisted;vital;inhabits;inhabits
The oil  company _______ production;to  officially stop something for a time;conquer;maintain;suspended;suspended
The lake was  _______;to make something  dirty and dangerous;concrete;drawback;contaminated;contaminated
The  _______ at that factory is used to make gasoline.;dark oil that is found  under the ground ;reinforced;prevalent;petroleum;petroleum
Be careful with that  candle. It is extremely _______;that can burn  easily;vivacious;attitude;flammable;flammable
Dean’s favorite  part of Christmas is the _______ clothing that people wear;typical of a holiday or celebration;scent;disgrace;festive;festive
I enjoy a wonderful _______ with my family.;a large meal  where a lot of people celebrate something;blossoms;dismissed;feast;feast
In order to get a _______ meal, you have to eat at an  expensive restaurant.;very high quality  food and drink;bloom;concern;gourmet;gourmet
My birthday  _______ with Christmas;to happen at the same time, to be the same or very similar;pollen;contagious;coincides;coincides
My mom _______ to buy the perfect  gift each Christmas.;to happen often or usually ;awkward;yawned;tends;tends
Everyone  knew that it was Dad in the Santa _______;hide something or change it, so that it cannot be recognized;smooth;aspired;disguise;disguise
A lot of dogs  must wear a _______ to keep them from running away.;a long piece of leather, chain or rope used for  controlling a dog;rough;innovative;leash;leash
Casey _______ to  lift a lot of weight;try very hard  to do something using all our strength;estimated;imitated;strained;strained
England secondary  schools _______ mask rules.;to introduce a new law or rule, have a bad effect on something;deal;artificial;imposed;imposed
Jim cannot join us because  he is _______ by previous plans.;to control and limit  something;shade;inhabits;constrained;constrained
The chance of  winning a prize was _______ to get people to play the game;something that  motivates us to work harder;slim;suspended;incentive;incentive
Ice cream was a _______ for him since he rarely had any;something new, unusual and interesting;whereabouts;contaminated;novelty;novelty
New businesses  _______ in this area.;to grow, develop, or be successful;opt;petroleum;thrive;thrive
Penguins thrive  in the _______ regions of Antarctica.;extremely cold or unfriendly;commute;flammable;glacial;glacial
We decided not  to go on the hike because the weather was too _______;extremely cold;eventual;festive;frigid;frigid
We did not go  outside during the terrible _______;a snowstorm  with very strong winds, a large amount of smth;obtained;feast;blizzard;blizzard
If you want _______ knowledge, ask someone who saw it;personal experience;pretend;gourmet;firsthand;firsthand
Karen and Brian often have _______ about silly things.;a serious argument or disagreement;locale;coincides;disputes;disputes
After arguing, the two friends were _______ with  each other;to make  friendly again;amused;tends;reconciled;reconciled
Wind power is a clean way to  _______ a city with energy;to make something continue to exist or happen for a period of time;mere;disguise;sustain;sustain
That  man _______ several new computers to our school;give something to a person or an organization in order to help them;fever;leash;donated;donated
The kids  showed Aunt Tess much _______ for visiting them.;the feeling of being thankful;relief;strained;gratitude;gratitude
She said that  her love for him was _______;lasting forever or for a very long time;drought;imposed;eternal;eternal
The  difference between the two products is _______;too small  or unimportant to have any effect;devastated;constrained;negligible;negligible
A barrier  _______ us from entering the street.;to stop something from  happening ;launched;incentive;prevented;prevented
Wolves are _______ animals. Do not disturb them.;angry and aggressive, strong and powerful;satellite;novelty;fierce;fierce
She was 2 minutes  faster than her nearest _______;person or group that tries to be more successful than others ;transmits;thrive;rival;rival
Has he got a girlfriend? Jill asked, trying to sound _______;feeling calm and relaxed,  not showing interest;instant;glacial;nonchalant;nonchalant
Running without good shoes may _______ leg pain;to cause something, influence somebody to do something;define;frigid;induce;induce
Her tone of voice is _______;quick and full of energy;abnormal;blizzard;brisk;brisk
He felt _______ after a day in the country.;to make somebody feel healthy and full of energy;harvest;firsthand;invigorated;invigorated
The sun _______ from behind the clouds;come out from somewhere, to become known;attain;disputes;emerged;emerged
The _______ was excited about getting a skateboard for  his birthday.;a young person, usually  between the ages of 12 and 18;fluent;reconciled;adolescent;adolescent
An _______ scientist is coming to the university to talk about her discoveries;a feeling of respect for someone;comprehend;sustain;esteemed;esteemed
Amanda has a lot of _______ for her little sister Sarah.;a feeling of liking or love ;barely;donated;affection;affection
The pain in his head gradually _______;go back;gloom;gratitude;receded;receded
Good watches dont come at_______prices.;a thing that we buy for less than its usual price,  an agreement;descended;eternal;bargain;bargain
The company will be _______;to officially have a criminal case against someone;traversed;negligible;prosecuted;prosecuted
He loved the circus to such an _______ that he wanted to have his own circus.;how large, important, or serious something is;flavour;prevented;extent;extent
The document _______ your rights and your obligations.;to describe or explain something in detail;plain;fierce;delineates;delineates
The company is ready to meet the _______ of the next few years.;a new or difficult task ;fancy;rival;challenges;challenges
The room _______ a beautiful view over the city.;to be able to do or have something;fanciful;nonchalant;affords;affords
The building has been badly _______;to not give enough care or attention to people or things;charmed;induce;neglected;neglected
The smell of diesel oil _______ the air;to enter and spread through every part of something;delight;brisk;permeated;permeated
The tent has a waterproof _______ on both sides.;a thin layer of something that covers a surface;cosmopolitan /n.;invigorated;coating;coating
Wood is a _______ material.;can be used for a long time ;outlook;emerged;durable;durable
Stacy and Heather _______ their friendship when they were teenagers.;create relationship, make or produce something ;adopted;adolescent;forged;forged
The company plans to _______ its hand in Europe by opening an office in Spain;to make something stronger or more effective;decaying;esteemed;strengthen;strengthen
Mary _______ that she would stop smoking.;formal to make a decision;hygiene;affection;resolved;resolved
You need _______ to be a long-distance runner;physical or mental strength to do something for a long time;nutritious;receded;stamina;stamina
He _______ with his task until he had succeeded;continue trying to do or achieve something despite difficulties;intake;bargain;persevered;persevered
She’s the team’s most _______ player.;always behaving in the same way, in agreement with something;skills;prosecuted;consistent;consistent
Eating good food _______ that we stay healthy.;to guarantee, make sure that something happens;dedicated;extent;ensures;ensures
Police _______ traffic laws to keep everyone safe.;to make people follow a rule or law;pursuit;delineates;enforce;enforce
Could you _______ the dates we discussed?;to say that something is true or correct;habitual;challenges;confirm;confirm
The boy _______ that he broke the window.;to say that something is not true;arteries;affords;denied;denied
She works in the hairdresser as an _______;someone who works for a qualified person in order to learn a profession;vital;neglected;apprentice;apprentice
Two students were _______ to help the scientists with their research.;choose someone for a position or a job, choose time for a meeting;maintain;permeated;appointed;appointed
The project is already well _______;happening now;drawback;coating;underway;underway
They _______ over coffee and missed the last bus;to stay somewhere a little longer;prevalent;durable;lingered;lingered
The sun shone _______ through the clouds;difficult to see, hear or smell, not strong or clear;attitude;forged;faintly;faintly
The change happens in a series of _______ steps.;clearly separate and different from each other;disgrace;strengthen;discrete;discrete
His mountain bike had 18 _______;equipment that changes speed ;dismissed;resolved;gears;gears
Sara tried to open the window but it was _______;impossible to move from a position;concern;stamina;stuck;stuck
They want a chance to do _______ work;useful, serious, or important;contagious;persevered;meaningful;meaningful
Many people enjoy _______ a holiday with learning a new skill.;to put two or more things together;yawned;consistent;combining;combining
All this information can be _______ in a simple diagram.;to communicate or make ideas known;aspired;ensures;conveyed;conveyed
There’s no place for _______ in business!;formal a feeling or an opinion, based on emotions;innovative;enforce;sentiment;sentiment
He bought a copy from a newspaper _______;someone who is selling something;imitated;confirm;vendor;vendor
The food was _______;extremely good ;artificial;denied;superb;superb
The _______ of Japan is low in fat.;a style of cooking ;inhabits;apprentice;cuisine;cuisine
The hotel is in the city centre, close to shops and local _______;something that makes a place comfortable or easy to live in;suspended;appointed;amenities;amenities
From an _______ point of view, it’s a nice design;connected with beauty and the study of beauty;contaminated;underway;aesthetic;aesthetic
The idea of working abroad really _______ to me;a quality that makes something  interesting;petroleum;lingered;appeals;appeals
